CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES,SIGMA
Gunnthrá,Heroes,1472.25,,2407.0,2985.0,968.0,437.0,536.0,341.0,264.0,225.0,1.03
Rune,Heroes,1472.19,,,,,,,,,257.0,1.06
Tana,Magvel,1472.16,2849.0,1979.0,1495.0,1129.0,454.0,542.0,404.0,276.0,269.0,1.07
Sanaki,Tellius,1472.02,1828.0,1955.0,1555.0,961.0,544.0,602.0,383.0,353.0,276.0,1.06
Seteth,Fodlan,1471.92,,,,2954.0,584.0,561.0,369.0,356.0,242.0,1.06
Sonia,Elibe,1471.85,665.0,771.0,1069.0,771.0,1109.0,1410.0,2218.0,2272.0,150.0,0.97
Wrys,Archanea,1471.84,2669.0,4838.0,3777.0,836.0,415.0,543.0,276.0,236.0,243.0,1.04
Ratatoskr,Heroes,1471.8,,,,,,,,339.0,253.0,1.05
Rinea,Valentia,1471.79,,3206.0,4699.0,660.0,396.0,488.0,323.0,355.0,303.0,1.01
Linde,Archanea,1471.72,2018.0,2385.0,1966.0,897.0,443.0,451.0,384.0,288.0,223.0,1.06
Beruka,Fates,1471.67,2561.0,1357.0,1497.0,697.0,560.0,595.0,399.0,488.0,453.0,1.04
Hríd (Hrid),Heroes,1471.63,,,3756.0,935.0,374.0,460.0,352.0,380.0,302.0,1.05
Ignatz,Fodlan,1471.52,,,,995.0,851.0,501.0,257.0,221.0,210.0,1.06
Surtr,Heroes,1471.39,,3769.0,6325.0,1481.0,473.0,374.0,179.0,182.0,121.0,1.06
Eitr,Heroes,1471.36,,,,,,,,421.0,176.0,1.06
Eleonora/Virion,TMS #FE,1471.21,,,,983.0,586.0,565.0,281.0,255.0,184.0,1.03
Fáfnir (Fafnir),Heroes,1471.06,,,,,532.0,732.0,329.0,275.0,218.0,1.09
Larcei,Jugdral,1471.01,1876.0,1508.0,2514.0,896.0,566.0,556.0,322.0,429.0,259.0,1.08
Keaton,Fates,1470.96,3724.0,5989.0,4100.0,778.0,360.0,453.0,228.0,226.0,178.0,1.03
Zelestia,Elyos,1470.88,,,,,,,,399.0,195.0,1.05
Kris (M),Archanea,1470.87,736.0,1260.0,2063.0,1662.0,499.0,498.0,278.0,277.0,348.0,1.01
Rutger,Elibe,1470.72,2297.0,1561.0,1901.0,551.0,488.0,541.0,343.0,322.0,346.0,1.08
Flame Emperor,Fodlan,1470.7,,,,759.0,622.0,,,,,1.07
Lachesis,Jugdral,1470.68,1394.0,1368.0,1270.0,774.0,485.0,477.0,342.0,295.0,264.0,1.03
Edward,Tellius,1470.68,1446.0,1103.0,1138.0,818.0,670.0,836.0,724.0,660.0,172.0,1.0
Flayn,Fodlan,1470.67,,,,3016.0,665.0,655.0,313.0,186.0,157.0,0.99
Titania,Tellius,1470.65,3757.0,1311.0,1611.0,718.0,377.0,512.0,433.0,530.0,381.0,1.04
Lewyn,Jugdral,1470.57,1626.0,3579.0,1533.0,929.0,668.0,542.0,347.0,293.0,256.0,1.05
Sophia,Elibe,1470.5,3150.0,1436.0,1491.0,847.0,568.0,551.0,390.0,380.0,352.0,1.03
Barry,TMS #FE,1470.46,,,,836.0,458.0,730.0,331.0,244.0,211.0,1.09
Tormod,Tellius,1470.41,1015.0,695.0,864.0,618.0,673.0,829.0,696.0,739.0,330.0,0.99
Ayaha/Aversa,TMS #FE,1470.39,,,,922.0,427.0,541.0,294.0,243.0,180.0,1.05
Thrasir,Heroes,1470.31,,,7045.0,1415.0,598.0,462.0,362.0,257.0,141.0,1.09
Eitri,Heroes,1470.15,,,,,,1092.0,335.0,187.0,175.0,0.98
Lucius,Elibe,1470.04,2204.0,1502.0,1047.0,719.0,481.0,495.0,344.0,326.0,292.0,1.08
Mareeta,Jugdral,1469.99,836.0,1043.0,1585.0,627.0,596.0,597.0,417.0,331.0,272.0,1.03
Kaze,Fates,1469.9,4069.0,4021.0,1058.0,588.0,328.0,304.0,314.0,279.0,232.0,0.98
Nifl,Heroes,1469.86,,,,,,586.0,369.0,233.0,223.0,1.04
Dagr,Heroes,1469.83,,,,,,787.0,285.0,249.0,178.0,1.0
Camus,Archanea,1469.82,1829.0,2209.0,2406.0,1061.0,421.0,493.0,302.0,270.0,202.0,1.03
Noire,Ylisse,1469.7,2786.0,2227.0,1138.0,485.0,361.0,429.0,267.0,279.0,151.0,1.0
Mirabilis,Heroes,1469.7,,,,,619.0,391.0,243.0,354.0,203.0,1.05
Nyx,Fates,1469.67,2562.0,2231.0,2613.0,1465.0,1123.0,262.0,191.0,159.0,165.0,1.0
Abysskeeper,Fodlan,1469.55,,,,,753.0,1374.0,292.0,199.0,100.0,0.97
Mitama,Fates,1469.54,1051.0,714.0,857.0,414.0,535.0,901.0,659.0,446.0,348.0,0.99
Ced,Jugdral,1469.49,1422.0,1655.0,2115.0,783.0,461.0,439.0,344.0,232.0,263.0,1.05
