CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Sanaki,Tellius,1647.76,1828.0,1955.0,1555.0,961.0,544.0,602.0,383.0,353.0,276.0
Linde,Archanea,1647.75,2018.0,2385.0,1966.0,897.0,443.0,451.0,384.0,288.0,223.0
Peri,Fates,1647.72,3892.0,1483.0,1573.0,697.0,550.0,550.0,363.0,403.0,330.0
Thórr (Thorr),Heroes,1647.38,,,,,,1148.0,457.0,350.0,314.0
Effie,Fates,1647.31,1974.0,2392.0,1952.0,694.0,381.0,385.0,226.0,418.0,183.0
Flayn,Fodlan,1647.22,,,,3016.0,665.0,655.0,313.0,186.0,157.0
Donnel,Ylisse,1646.75,10479.0,1876.0,1835.0,824.0,439.0,635.0,429.0,264.0,294.0
Hríd (Hrid),Heroes,1646.31,,,3756.0,935.0,374.0,460.0,352.0,380.0,302.0
Rinea,Valentia,1638.13,,3206.0,4699.0,660.0,396.0,488.0,323.0,355.0,303.0
Triandra,Heroes,1637.38,,,,3889.0,805.0,487.0,309.0,225.0,197.0
Sophia,Elibe,1635.87,3150.0,1436.0,1491.0,847.0,568.0,551.0,390.0,380.0,352.0
Rune,Heroes,1635.7,,,,,,,,,257.0
Tana,Magvel,1634.85,2849.0,1979.0,1495.0,1129.0,454.0,542.0,404.0,276.0,269.0
Zelestia,Elyos,1632.72,,,,,,,,399.0,195.0
Mitama,Fates,1632.52,1051.0,714.0,857.0,414.0,535.0,901.0,659.0,446.0,348.0
Eir,Heroes,1632.26,,,6224.0,1222.0,491.0,510.0,303.0,253.0,216.0
Fáfnir (Fafnir),Heroes,1631.73,,,,,532.0,732.0,329.0,275.0,218.0
Barry,TMS #FE,1630.32,,,,836.0,458.0,730.0,331.0,244.0,211.0
Wrys,Archanea,1628.9,2669.0,4838.0,3777.0,836.0,415.0,543.0,276.0,236.0,243.0
Gunnthrá,Heroes,1628.8,,2407.0,2985.0,968.0,437.0,536.0,341.0,264.0,225.0
Kaze,Fates,1628.47,4069.0,4021.0,1058.0,588.0,328.0,304.0,314.0,279.0,232.0
Eitr,Heroes,1626.6,,,,,,,,421.0,176.0
Volug,Tellius,1626.07,838.0,839.0,1100.0,684.0,507.0,822.0,576.0,482.0,396.0
Dagr,Heroes,1625.41,,,,,,787.0,285.0,249.0,178.0
Lewyn,Jugdral,1625.36,1626.0,3579.0,1533.0,929.0,668.0,542.0,347.0,293.0,256.0
Ced,Jugdral,1624.86,1422.0,1655.0,2115.0,783.0,461.0,439.0,344.0,232.0,263.0
Eleonora/Virion,TMS #FE,1624.34,,,,983.0,586.0,565.0,281.0,255.0,184.0
Rinkah,Fates,1621.18,3142.0,2972.0,4051.0,2159.0,272.0,302.0,265.0,251.0,208.0
Nifl,Heroes,1621.07,,,,,,586.0,369.0,233.0,223.0
Rutger,Elibe,1620.89,2297.0,1561.0,1901.0,551.0,488.0,541.0,343.0,322.0,346.0
Dwyer,Fates,1619.55,2048.0,1291.0,1881.0,1024.0,847.0,955.0,162.0,133.0,171.0
Ignatz,Fodlan,1619.12,,,,995.0,851.0,501.0,257.0,221.0,210.0
Mareeta,Jugdral,1615.66,836.0,1043.0,1585.0,627.0,596.0,597.0,417.0,331.0,272.0
